Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
27-Oct-14,Monday,4,Oct,2014,,Free Ship No Min,478,,,,,,
28-Oct-14,Tuesday,4,Oct,2014,,"20% Off,FS on $49",257,,,,,,
29-Oct-14,Wednesday,5,Oct,2014,,"20% Off,FS on $49",297,,,,,,
30-Oct-14,Thursday,5,Oct,2014,,"20% Off,FS on $49",290,,,,,,
31-Oct-14,Friday,5,Oct,2014,,"20% Off,FS on $49",315,,,,,,
1-Nov-14,Saturday,1,Nov,2014,,"20% Off,FS on $49",431,,,,,,
2-Nov-14,Sunday,1,Nov,2014,,"Up To 40% Off,FS on $49",225,,,,,,
3-Nov-14,Monday,1,Nov,2014,,No Email Drop,259,,,,,,
4-Nov-14,Tuesday,1,Nov,2014,,No Email Drop,234,,,,,,
5-Nov-14,Wednesday,1,Nov,2014,,"Reveal Your Deal Promo,15, 20% Off,",625,,,,,,
